epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,279.305,0.76288,0.40687,0.91046,0.99494,1,0.995,0.59256,1.5656,0.54336,1.19562,0.000820675,0.000820675,0.000820675
45,285.652,0.742,0.40399,0.90616,0.99582,1,0.995,0.58067,1.56861,0.52244,1.20456,0.000806528,0.000806528,0.000806528
46,291.961,0.74589,0.38,0.8998,0.99559,1,0.995,0.54464,1.69815,0.53318,1.38476,0.00079238,0.00079238,0.00079238
47,298.432,0.76736,0.37892,0.91431,0.99686,1,0.995,0.50799,1.80714,0.58581,1.51993,0.000778233,0.000778233,0.000778233
48,304.776,0.74587,0.36859,0.92833,0.99618,1,0.995,0.52619,1.69715,0.54715,1.28575,0.000764086,0.000764086,0.000764086
49,310.974,0.74471,0.35869,0.92208,0.99533,1,0.995,0.51669,1.7789,0.55331,1.35202,0.000749939,0.000749939,0.000749939
50,317.234,0.71266,0.35731,0.88576,0.99747,1,0.995,0.52035,1.79414,0.57603,1.44394,0.000735792,0.000735792,0.000735792
51,323.603,0.75684,0.34975,0.93102,0.99603,1,0.995,0.53113,1.74107,0.60065,1.39361,0.000721645,0.000721645,0.000721645
52,329.905,0.74302,0.36417,0.90419,0.99819,1,0.995,0.56223,1.60547,0.5463,1.22772,0.000707498,0.000707498,0.000707498
53,336.266,0.74732,0.36072,0.90411,0.99606,1,0.995,0.54772,1.62072,0.53237,1.24423,0.000693351,0.000693351,0.000693351
54,342.099,0.73193,0.35684,0.9004,0.99626,1,0.995,0.53364,1.68589,0.52067,1.32981,0.000679204,0.000679204,0.000679204
55,347.965,0.74286,0.36001,0.89674,0.99725,1,0.995,0.55814,1.59936,0.54584,1.26501,0.000665057,0.000665057,0.000665057
56,353.834,0.74965,0.35554,0.89827,0.99791,1,0.995,0.5856,1.55057,0.53539,1.24483,0.000650909,0.000650909,0.000650909
57,359.686,0.73871,0.3659,0.88551,0.99658,1,0.995,0.58379,1.55333,0.52926,1.23836,0.000636762,0.000636762,0.000636762
58,365.636,0.74005,0.3576,0.91434,0.99663,1,0.995,0.58154,1.54734,0.53064,1.21933,0.000622615,0.000622615,0.000622615
59,372.476,0.70207,0.35334,0.89285,0.99736,1,0.995,0.58605,1.58087,0.54082,1.25893,0.000608468,0.000608468,0.000608468
60,379.275,0.7323,0.34838,0.90326,0.99698,1,0.995,0.57902,1.61447,0.56374,1.31441,0.000594321,0.000594321,0.000594321
