epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,155.086,0.87192,0.45449,0.91625,0.99497,1,0.995,0.82162,0.76386,0.34574,0.85386,0.000820675,0.000820675,0.000820675
45,158.759,0.82255,0.47015,0.89752,0.99442,1,0.995,0.81271,0.77888,0.34451,0.86006,0.000806528,0.000806528,0.000806528
46,162.41,0.81587,0.46513,0.90071,0.99485,1,0.995,0.8113,0.74774,0.32417,0.85069,0.00079238,0.00079238,0.00079238
47,166.076,0.81588,0.46369,0.91261,0.99184,1,0.995,0.79731,0.76846,0.31686,0.8547,0.000778233,0.000778233,0.000778233
48,169.753,0.8226,0.45244,0.91474,0.98904,1,0.995,0.80273,0.80556,0.3244,0.86469,0.000764086,0.000764086,0.000764086
49,173.124,0.81218,0.44329,0.89004,0.99025,1,0.995,0.79195,0.82159,0.33811,0.86936,0.000749939,0.000749939,0.000749939
50,176.599,0.82241,0.44447,0.89968,0.99497,1,0.995,0.78695,0.81651,0.33016,0.8618,0.000735792,0.000735792,0.000735792
51,180.017,0.80653,0.41199,0.90378,0.9942,1,0.995,0.78989,0.82011,0.32571,0.87235,0.000721645,0.000721645,0.000721645
52,183.489,0.83611,0.4632,0.90554,0.99274,1,0.995,0.79471,0.82317,0.33917,0.88002,0.000707498,0.000707498,0.000707498
53,186.897,0.8288,0.43207,0.91138,0.99213,1,0.995,0.79388,0.81758,0.33375,0.87138,0.000693351,0.000693351,0.000693351
54,190.323,0.85087,0.43329,0.91285,0.9938,1,0.995,0.79103,0.77334,0.3302,0.84883,0.000679204,0.000679204,0.000679204
55,193.756,0.83079,0.41588,0.91258,0.99291,1,0.995,0.78686,0.77366,0.33076,0.84646,0.000665057,0.000665057,0.000665057
56,197.163,0.78381,0.42648,0.90575,0.99169,1,0.995,0.77921,0.77401,0.32325,0.8484,0.000650909,0.000650909,0.000650909
57,200.691,0.79904,0.41849,0.90798,0.99277,1,0.995,0.77801,0.79046,0.31572,0.85688,0.000636762,0.000636762,0.000636762
58,204.206,0.82036,0.40515,0.90844,0.9923,1,0.995,0.78528,0.80088,0.3231,0.85221,0.000622615,0.000622615,0.000622615
59,207.763,0.81106,0.41822,0.90661,0.99127,1,0.995,0.78397,0.78614,0.32277,0.84868,0.000608468,0.000608468,0.000608468
60,211.432,0.81769,0.4298,0.89539,0.992,1,0.995,0.79228,0.79744,0.32799,0.84991,0.000594321,0.000594321,0.000594321
61,214.996,0.78608,0.43509,0.88791,0.99178,1,0.995,0.77719,0.81009,0.33613,0.85251,0.000580174,0.000580174,0.000580174
62,218.68,0.79738,0.40971,0.89576,0.99422,1,0.995,0.78477,0.83288,0.33131,0.86652,0.000566027,0.000566027,0.000566027
63,221.976,0.791,0.42058,0.89974,0.99313,1,0.995,0.7821,0.83824,0.33066,0.87012,0.00055188,0.00055188,0.00055188
64,225.243,0.79072,0.39788,0.88475,0.99369,1,0.995,0.79211,0.81774,0.32806,0.86365,0.000537733,0.000537733,0.000537733
65,228.613,0.77945,0.40008,0.89623,0.9932,1,0.995,0.80004,0.81662,0.31971,0.86486,0.000523586,0.000523586,0.000523586
66,231.986,0.83184,0.42882,0.92752,0.99468,1,0.995,0.80415,0.79755,0.31793,0.861,0.000509438,0.000509438,0.000509438
67,235.304,0.76727,0.3894,0.9073,0.99534,1,0.995,0.81174,0.76881,0.30945,0.85002,0.000495291,0.000495291,0.000495291
68,238.569,0.81838,0.38762,0.89417,0.99473,1,0.995,0.82161,0.76083,0.31021,0.84975,0.000481144,0.000481144,0.000481144
69,241.828,0.78607,0.38508,0.90925,0.99433,1,0.995,0.82077,0.7546,0.31242,0.84732,0.000466997,0.000466997,0.000466997
70,245.143,0.77893,0.39639,0.90568,0.99334,1,0.995,0.83176,0.74763,0.31537,0.845,0.00045285,0.00045285,0.00045285
71,248.476,0.82284,0.38387,0.89649,0.9935,1,0.995,0.8255,0.74539,0.30625,0.84452,0.000438703,0.000438703,0.000438703
72,251.767,0.79938,0.38312,0.9012,0.99377,1,0.995,0.80852,0.74103,0.29766,0.84383,0.000424556,0.000424556,0.000424556
73,255.035,0.80603,0.37067,0.89847,0.99389,1,0.995,0.80974,0.73822,0.28786,0.84362,0.000410409,0.000410409,0.000410409
74,258.292,0.75765,0.38432,0.90984,0.99515,1,0.995,0.801,0.75976,0.28308,0.844,0.000396262,0.000396262,0.000396262
75,261.595,0.76405,0.37876,0.89768,0.99434,1,0.995,0.80282,0.77832,0.27928,0.84689,0.000382115,0.000382115,0.000382115
76,264.945,0.79511,0.37939,0.90207,0.99447,1,0.995,0.80198,0.79853,0.28399,0.85201,0.000367967,0.000367967,0.000367967
77,268.171,0.81818,0.38218,0.90895,0.99412,1,0.995,0.8033,0.81299,0.29083,0.85624,0.00035382,0.00035382,0.00035382
78,271.524,0.7488,0.36297,0.88411,0.99433,1,0.995,0.80589,0.81574,0.29317,0.85873,0.000339673,0.000339673,0.000339673
79,274.783,0.75502,0.37431,0.901,0.99706,1,0.995,0.81837,0.80542,0.29399,0.85819,0.000325526,0.000325526,0.000325526
80,278.073,0.79525,0.37763,0.89336,0.99707,1,0.995,0.81219,0.78564,0.29054,0.85146,0.000311379,0.000311379,0.000311379
81,281.443,0.78708,0.39298,0.8824,0.9951,1,0.995,0.81384,0.77101,0.28851,0.84759,0.000297232,0.000297232,0.000297232
82,284.633,0.80714,0.39998,0.88513,0.99458,1,0.995,0.81998,0.76331,0.28989,0.84931,0.000283085,0.000283085,0.000283085
83,287.966,0.77178,0.37005,0.8929,0.99647,1,0.995,0.82361,0.76566,0.29259,0.85155,0.000268938,0.000268938,0.000268938
84,291.286,0.73799,0.36641,0.89957,0.99686,1,0.995,0.8153,0.77029,0.29024,0.85112,0.000254791,0.000254791,0.000254791
85,294.472,0.742,0.36949,0.88748,0.99536,1,0.995,0.80842,0.77968,0.28894,0.85221,0.000240644,0.000240644,0.000240644
86,297.758,0.7904,0.39785,0.89482,0.99463,1,0.995,0.80196,0.79463,0.28776,0.85241,0.000226497,0.000226497,0.000226497
87,300.978,0.78907,0.38678,0.89048,0.99484,1,0.995,0.80406,0.79228,0.29252,0.85056,0.000212349,0.000212349,0.000212349
88,304.233,0.78309,0.3659,0.884,0.99509,1,0.995,0.80398,0.78599,0.29736,0.84845,0.000198202,0.000198202,0.000198202
89,307.614,0.76261,0.36754,0.87496,0.99519,1,0.995,0.79876,0.77722,0.30001,0.84678,0.000184055,0.000184055,0.000184055
90,310.987,0.76838,0.35863,0.90916,0.99528,1,0.995,0.82583,0.76332,0.29335,0.84389,0.000169908,0.000169908,0.000169908
91,314.267,0.76806,0.31879,0.90909,0.99508,1,0.995,0.82754,0.75496,0.28695,0.84157,0.000155761,0.000155761,0.000155761
92,317.608,0.75576,0.31746,0.89478,0.99425,1,0.995,0.82483,0.74956,0.28554,0.83904,0.000141614,0.000141614,0.000141614
93,320.719,0.75437,0.31912,0.88091,0.99404,1,0.995,0.81753,0.75179,0.28377,0.83938,0.000127467,0.000127467,0.000127467
94,323.953,0.7389,0.31998,0.89784,0.99491,1,0.995,0.81555,0.75574,0.28305,0.83981,0.00011332,0.00011332,0.00011332
95,327.208,0.74106,0.30552,0.87796,0.99486,1,0.995,0.81108,0.75674,0.28343,0.83984,9.91726e-05,9.91726e-05,9.91726e-05
96,330.294,0.74695,0.3127,0.88572,0.99432,1,0.995,0.80496,0.75981,0.2851,0.84064,8.50255e-05,8.50255e-05,8.50255e-05
97,333.415,0.74484,0.31227,0.87276,0.9942,1,0.995,0.80777,0.76288,0.2867,0.84121,7.08784e-05,7.08784e-05,7.08784e-05
98,336.575,0.75652,0.30299,0.88781,0.9947,1,0.995,0.80839,0.76551,0.28874,0.84207,5.67313e-05,5.67313e-05,5.67313e-05
99,339.734,0.75105,0.31255,0.88824,0.99498,1,0.995,0.8026,0.76836,0.28918,0.84245,4.25842e-05,4.25842e-05,4.25842e-05
100,342.885,0.74571,0.30602,0.87916,0.99532,1,0.995,0.80213,0.76733,0.28821,0.84218,2.84371e-05,2.84371e-05,2.84371e-05
